unique_id,ds,LGBMRegressor
USA,2016-03-28,36643.16239982809
USA,2016-03-29,33862.192926652395
USA,2016-03-30,33627.13518290193
USA,2016-03-31,34686.08054350211
USA,2016-04-01,42061.19223300102
USA,2016-04-02,52655.43869779607
USA,2016-04-03,52053.15278039092
USA,2016-04-04,40153.65240536326
USA,2016-04-05,36404.35283986658
USA,2016-04-06,38070.739749893124
USA,2016-04-07,37718.705194755836
USA,2016-04-08,42065.322500949515
USA,2016-04-09,51766.69384681758
USA,2016-04-10,50746.97718098571
USA,2016-04-11,40588.28735561566
USA,2016-04-12,36631.562582569306
USA,2016-04-13,36780.75079854105
USA,2016-04-14,36967.13379133023
USA,2016-04-15,41009.22147626311
USA,2016-04-16,48361.91150883207
USA,2016-04-17,49691.19446639858
USA,2016-04-18,40603.06838809047
USA,2016-04-19,37618.132265624234
USA,2016-04-20,36625.46479398819
USA,2016-04-21,35761.90073628745
USA,2016-04-22,37458.57772942362
USA,2016-04-23,45747.95808923459
USA,2016-04-24,47126.52003103772
USA/CA,2016-03-28,18794.301034607553
USA/CA,2016-03-29,15468.290659407028
USA/CA,2016-03-30,13933.386400100066
USA/CA,2016-03-31,14169.84568922207
USA/CA,2016-04-01,17430.666306771713
USA/CA,2016-04-02,21573.540046221828
USA/CA,2016-04-03,23858.046991450985
USA/CA,2016-04-04,17819.927708828665
USA/CA,2016-04-05,16473.8771786416
USA/CA,2016-04-06,16538.195115695595
USA/CA,2016-04-07,16560.962730852516
USA/CA,2016-04-08,17866.544890011923
USA/CA,2016-04-09,21984.16086057917
USA/CA,2016-04-10,22366.67967951288
USA/CA,2016-04-11,15720.554290775583
USA/CA,2016-04-12,14929.346293134091
USA/CA,2016-04-13,14620.231680538604
USA/CA,2016-04-14,14851.260875306267
USA/CA,2016-04-15,16741.85706848815
USA/CA,2016-04-16,20872.222872460075
USA/CA,2016-04-17,22658.84956652267
USA/CA,2016-04-18,17103.08624681781
USA/CA,2016-04-19,14558.378382703633
USA/CA,2016-04-20,14159.972852219718
USA/CA,2016-04-21,13627.770668652312
USA/CA,2016-04-22,16198.566123128989
USA/CA,2016-04-23,20673.138469774753
USA/CA,2016-04-24,21733.812076014787
USA/CA/CA_1,2016-03-28,3927.3028543072996
USA/CA/CA_1,2016-03-29,3629.12097749051
USA/CA/CA_1,2016-03-30,3524.0929700819015
USA/CA/CA_1,2016-03-31,3625.3291714532575
USA/CA/CA_1,2016-04-01,4373.5774401859835
USA/CA/CA_1,2016-04-02,5670.511844796398
USA/CA/CA_1,2016-04-03,5957.078509477808
USA/CA/CA_1,2016-04-04,4306.923830638784
USA/CA/CA_1,2016-04-05,3819.6789506809014
USA/CA/CA_1,2016-04-06,3855.480336305817
USA/CA/CA_1,2016-04-07,4047.1430706332117
USA/CA/CA_1,2016-04-08,4491.399532064036
USA/CA/CA_1,2016-04-09,5910.355758499758
USA/CA/CA_1,2016-04-10,5948.4643684753955
USA/CA/CA_1,2016-04-11,4236.157436943193
USA/CA/CA_1,2016-04-12,3814.3885453261596
USA/CA/CA_1,2016-04-13,3698.8104125312375
USA/CA/CA_1,2016-04-14,3736.871676911843
USA/CA/CA_1,2016-04-15,4298.966696493777
USA/CA/CA_1,2016-04-16,5370.609337225401
USA/CA/CA_1,2016-04-17,5662.443906109974
USA/CA/CA_1,2016-04-18,4127.315744045713
USA/CA/CA_1,2016-04-19,3702.938516628239
USA/CA/CA_1,2016-04-20,3621.729542059166
USA/CA/CA_1,2016-04-21,3713.907205603005
USA/CA/CA_1,2016-04-22,4443.36442864931
USA/CA/CA_1,2016-04-23,5564.070058120306
USA/CA/CA_1,2016-04-24,5813.462016198793
USA/CA/CA_1/FOODS,2016-03-28,2699.4111112926735
USA/CA/CA_1/FOODS,2016-03-29,2571.0188899918912
USA/CA/CA_1/FOODS,2016-03-30,2515.650799310634
USA/CA/CA_1/FOODS,2016-03-31,2553.345733577417
USA/CA/CA_1/FOODS,2016-04-01,3008.204906899044
USA/CA/CA_1/FOODS,2016-04-02,3735.1510780686517
USA/CA/CA_1/FOODS,2016-04-03,4039.4353643664786
USA/CA/CA_1/FOODS,2016-04-04,2753.8586747701406
USA/CA/CA_1/FOODS,2016-04-05,2698.8416606369638
USA/CA/CA_1/FOODS,2016-04-06,2597.817451765912
USA/CA/CA_1/FOODS,2016-04-07,2709.3269808140467
USA/CA/CA_1/FOODS,2016-04-08,2920.7305862859066
USA/CA/CA_1/FOODS,2016-04-09,3771.756494503328
USA/CA/CA_1/FOODS,2016-04-10,3898.3418366240267
USA/CA/CA_1/FOODS,2016-04-11,2768.983708971336
USA/CA/CA_1/FOODS,2016-04-12,2464.3575451649126
USA/CA/CA_1/FOODS,2016-04-13,2495.316521221852
USA/CA/CA_1/FOODS,2016-04-14,2451.2894515942808
USA/CA/CA_1/FOODS,2016-04-15,2794.3318872719165
USA/CA/CA_1/FOODS,2016-04-16,3435.9204264863934
USA/CA/CA_1/FOODS,2016-04-17,3817.7703535909427
USA/CA/CA_1/FOODS,2016-04-18,2635.98971950628
USA/CA/CA_1/FOODS,2016-04-19,2474.631965319684
USA/CA/CA_1/FOODS,2016-04-20,2428.173669746934
USA/CA/CA_1/FOODS,2016-04-21,2531.9626943053277
USA/CA/CA_1/FOODS,2016-04-22,2907.0201465899195
USA/CA/CA_1/FOODS,2016-04-23,3754.439546631241
USA/CA/CA_1/FOODS,2016-04-24,3836.7954886493408
USA/CA/CA_1/FOODS/FOODS_1,2016-03-28,325.7575153190584
USA/CA/CA_1/FOODS/FOODS_1,2016-03-29,303.5330510938127
USA/CA/CA_1/FOODS/FOODS_1,2016-03-30,300.3006388789559
USA/CA/CA_1/FOODS/FOODS_1,2016-03-31,305.1808012118232
USA/CA/CA_1/FOODS/FOODS_1,2016-04-01,329.1918889080988
USA/CA/CA_1/FOODS/FOODS_1,2016-04-02,433.8899012317843
USA/CA/CA_1/FOODS/FOODS_1,2016-04-03,361.0401088836518
USA/CA/CA_1/FOODS/FOODS_1,2016-04-04,295.3943233132598
USA/CA/CA_1/FOODS/FOODS_1,2016-04-05,277.19337105706876
USA/CA/CA_1/FOODS/FOODS_1,2016-04-06,282.4722867597281
USA/CA/CA_1/FOODS/FOODS_1,2016-04-07,288.01750442586626
USA/CA/CA_1/FOODS/FOODS_1,2016-04-08,323.97117014528357
USA/CA/CA_1/FOODS/FOODS_1,2016-04-09,414.793456907452
USA/CA/CA_1/FOODS/FOODS_1,2016-04-10,342.0634194583772
USA/CA/CA_1/FOODS/FOODS_1,2016-04-11,269.48883738991594
USA/CA/CA_1/FOODS/FOODS_1,2016-04-12,262.84259524541255
USA/CA/CA_1/FOODS/FOODS_1,2016-04-13,256.8792565379093
USA/CA/CA_1/FOODS/FOODS_1,2016-04-14,268.96180187623844
USA/CA/CA_1/FOODS/FOODS_1,2016-04-15,310.72103236126924
USA/CA/CA_1/FOODS/FOODS_1,2016-04-16,401.72181287138
USA/CA/CA_1/FOODS/FOODS_1,2016-04-17,343.5195415565042
USA/CA/CA_1/FOODS/FOODS_1,2016-04-18,261.1312501493489
USA/CA/CA_1/FOODS/FOODS_1,2016-04-19,252.83307879119943
USA/CA/CA_1/FOODS/FOODS_1,2016-04-20,262.3017483560031
USA/CA/CA_1/FOODS/FOODS_1,2016-04-21,274.8454605780026
USA/CA/CA_1/FOODS/FOODS_1,2016-04-22,319.7091633921906
USA/CA/CA_1/FOODS/FOODS_1,2016-04-23,405.4759438998283
USA/CA/CA_1/FOODS/FOODS_1,2016-04-24,339.7918975292237
USA/CA/CA_1/FOODS/FOODS_2,2016-03-28,363.06370334086085
USA/CA/CA_1/FOODS/FOODS_2,2016-03-29,392.2471988146409
USA/CA/CA_1/FOODS/FOODS_2,2016-03-30,384.92029218769335
USA/CA/CA_1/FOODS/FOODS_2,2016-03-31,372.46399269284007
USA/CA/CA_1/FOODS/FOODS_2,2016-04-01,477.6652262338891
USA/CA/CA_1/FOODS/FOODS_2,2016-04-02,704.6865462355291
USA/CA/CA_1/FOODS/FOODS_2,2016-04-03,735.4647699727013
USA/CA/CA_1/FOODS/FOODS_2,2016-04-04,528.2320811120704
USA/CA/CA_1/FOODS/FOODS_2,2016-04-05,492.52592564671124
USA/CA/CA_1/FOODS/FOODS_2,2016-04-06,465.9388632134073
USA/CA/CA_1/FOODS/FOODS_2,2016-04-07,449.71665815846086
USA/CA/CA_1/FOODS/FOODS_2,2016-04-08,488.90227702482
USA/CA/CA_1/FOODS/FOODS_2,2016-04-09,675.6603538794187
USA/CA/CA_1/FOODS/FOODS_2,2016-04-10,690.7984242083629
USA/CA/CA_1/FOODS/FOODS_2,2016-04-11,489.76746211308614
USA/CA/CA_1/FOODS/FOODS_2,2016-04-12,454.7789517703934
USA/CA/CA_1/FOODS/FOODS_2,2016-04-13,440.8494844362723
USA/CA/CA_1/FOODS/FOODS_2,2016-04-14,425.6592809317814
USA/CA/CA_1/FOODS/FOODS_2,2016-04-15,473.98906282393267
USA/CA/CA_1/FOODS/FOODS_2,2016-04-16,618.6213692651153
USA/CA/CA_1/FOODS/FOODS_2,2016-04-17,650.6912499949636
USA/CA/CA_1/FOODS/FOODS_2,2016-04-18,473.63164544788486
USA/CA/CA_1/FOODS/FOODS_2,2016-04-19,428.93859396457805
USA/CA/CA_1/FOODS/FOODS_2,2016-04-20,422.8225515098355
USA/CA/CA_1/FOODS/FOODS_2,2016-04-21,423.7288948341231
USA/CA/CA_1/FOODS/FOODS_2,2016-04-22,471.4725748057429
USA/CA/CA_1/FOODS/FOODS_2,2016-04-23,603.7116889655433
USA/CA/CA_1/FOODS/FOODS_2,2016-04-24,607.1842229015554
USA/CA/CA_1/FOODS/FOODS_3,2016-03-28,1924.9218626590057
USA/CA/CA_1/FOODS/FOODS_3,2016-03-29,1786.729300225128
USA/CA/CA_1/FOODS/FOODS_3,2016-03-30,1743.599045487739
USA/CA/CA_1/FOODS/FOODS_3,2016-03-31,1752.624984832862
USA/CA/CA_1/FOODS/FOODS_3,2016-04-01,2089.4030808475586
USA/CA/CA_1/FOODS/FOODS_3,2016-04-02,2646.1804360821625
USA/CA/CA_1/FOODS/FOODS_3,2016-04-03,2890.578403711288
USA/CA/CA_1/FOODS/FOODS_3,2016-04-04,1995.8002823421423
USA/CA/CA_1/FOODS/FOODS_3,2016-04-05,1849.31690400575
USA/CA/CA_1/FOODS/FOODS_3,2016-04-06,1835.9300288303714
USA/CA/CA_1/FOODS/FOODS_3,2016-04-07,1875.618894674572
USA/CA/CA_1/FOODS/FOODS_3,2016-04-08,2108.223189754284
USA/CA/CA_1/FOODS/FOODS_3,2016-04-09,2824.132853950438
USA/CA/CA_1/FOODS/FOODS_3,2016-04-10,2893.160083295396
USA/CA/CA_1/FOODS/FOODS_3,2016-04-11,1936.1676315833201
USA/CA/CA_1/FOODS/FOODS_3,2016-04-12,1755.299254664741
USA/CA/CA_1/FOODS/FOODS_3,2016-04-13,1745.4150755213548
USA/CA/CA_1/FOODS/FOODS_3,2016-04-14,1777.313373958994
USA/CA/CA_1/FOODS/FOODS_3,2016-04-15,2045.8918700520671
USA/CA/CA_1/FOODS/FOODS_3,2016-04-16,2722.1022033796785
USA/CA/CA_1/FOODS/FOODS_3,2016-04-17,2851.2828003357313
USA/CA/CA_1/FOODS/FOODS_3,2016-04-18,1943.0025475047623
USA/CA/CA_1/FOODS/FOODS_3,2016-04-19,1814.1358874689727
USA/CA/CA_1/FOODS/FOODS_3,2016-04-20,1785.0243678073318
USA/CA/CA_1/FOODS/FOODS_3,2016-04-21,1764.258863565131
USA/CA/CA_1/FOODS/FOODS_3,2016-04-22,2117.1487335770084
USA/CA/CA_1/FOODS/FOODS_3,2016-04-23,2644.1587547572967
USA/CA/CA_1/FOODS/FOODS_3,2016-04-24,2836.4947301380157
USA/CA/CA_1/HOBBIES,2016-03-28,508.18981720941184
USA/CA/CA_1/HOBBIES,2016-03-29,433.31617687795995
USA/CA/CA_1/HOBBIES,2016-03-30,445.67877965276
USA/CA/CA_1/HOBBIES,2016-03-31,428.9269409824095
USA/CA/CA_1/HOBBIES,2016-04-01,483.55793691163547
USA/CA/CA_1/HOBBIES,2016-04-02,615.975188349203
USA/CA/CA_1/HOBBIES,2016-04-03,639.6610787823429
USA/CA/CA_1/HOBBIES,2016-04-04,491.4895718231388
USA/CA/CA_1/HOBBIES,2016-04-05,467.53282006766443
USA/CA/CA_1/HOBBIES,2016-04-06,484.33055468198364
USA/CA/CA_1/HOBBIES,2016-04-07,466.28053938481713
USA/CA/CA_1/HOBBIES,2016-04-08,512.1305624489933
USA/CA/CA_1/HOBBIES,2016-04-09,641.6535163299131
USA/CA/CA_1/HOBBIES,2016-04-10,584.7222458590044
USA/CA/CA_1/HOBBIES,2016-04-11,459.3576011411839
USA/CA/CA_1/HOBBIES,2016-04-12,446.62904764941794
USA/CA/CA_1/HOBBIES,2016-04-13,437.6668211328426
USA/CA/CA_1/HOBBIES,2016-04-14,424.55940966717225
USA/CA/CA_1/HOBBIES,2016-04-15,504.32163360542614
USA/CA/CA_1/HOBBIES,2016-04-16,586.6548369589575
USA/CA/CA_1/HOBBIES,2016-04-17,572.7132334872631
USA/CA/CA_1/HOBBIES,2016-04-18,456.6526597756667
USA/CA/CA_1/HOBBIES,2016-04-19,428.4744159609878
USA/CA/CA_1/HOBBIES,2016-04-20,439.3227291399515
USA/CA/CA_1/HOBBIES,2016-04-21,448.6794416786243
USA/CA/CA_1/HOBBIES,2016-04-22,466.20848487695974
USA/CA/CA_1/HOBBIES,2016-04-23,574.1535670857651
USA/CA/CA_1/HOBBIES,2016-04-24,546.5371757430288
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-03-28,456.64153035980974
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-03-29,398.1513400770212
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-03-30,390.8923199344706
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-03-31,386.5029771877517
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-01,432.1594499042921
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-02,565.9745335993987
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-03,552.8961304423026
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-04,427.00195134173225
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-05,416.43449673709324
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-06,425.2442904280313
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-07,434.5446135830737
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-08,445.7547552838648
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-09,590.3927719414145
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-10,506.09991647749086
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-11,408.43353558628445
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-12,406.15431841836795
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-13,406.95116271552695
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-14,408.06803563880794
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-15,459.79683060570017
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-16,555.3222728831146
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-17,516.7922095335858
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-18,423.4894446778739
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-19,401.693677911714
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-20,407.52615742224924
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-21,408.8188887784549
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-22,425.2231410021704
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-23,521.2074728794065
USA/CA/CA_1/HOBBIES/HOBBIES_1,2016-04-24,515.5890496012545
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-03-28,29.654812882791973
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-03-29,28.987110544496694
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-03-30,29.42914840768826
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-03-31,28.682494337389734
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-01,32.16018754000017
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-02,39.96260672362808
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-03,35.90648395430639
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-04,31.691185175436328
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-05,27.781671908877502
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-06,29.482885783778382
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-07,29.13855395631653
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-08,29.66895754038594
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-09,39.180766021790014
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-10,35.70537932551438
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-11,29.93143047006086
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-12,27.52337126096381
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-13,29.029174029406764
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-14,28.1340682502203
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-15,29.735079409031474
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-16,37.925519591087976
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-17,33.434792444233636
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-18,27.87444323753731
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-19,27.52337126096381
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-20,28.449410026864545
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-21,27.4428021669457
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-22,29.43335878023529
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-23,37.94425360496065
USA/CA/CA_1/HOBBIES/HOBBIES_2,2016-04-24,33.434792444233636
USA/CA/CA_1/HOUSEHOLD,2016-03-28,893.6489551615016
USA/CA/CA_1/HOUSEHOLD,2016-03-29,788.5214187070345
