unique_id,ds,LSTM,NBEATS,NHITS,PatchTST,TimeMixer,TimesNet,Informer,TFT
USA,2016-03-28,36997.945,35048.902,37671.684,36732.414,36608.85,35537.824,37040.02,38316.656
USA,2016-03-29,35574.27,34138.445,35016.594,35100.977,34477.34,34618.24,34789.027,35796.164
USA,2016-03-30,35631.523,34512.387,35373.617,35436.97,34668.07,35065.746,34915.664,35726.73
USA,2016-03-31,36428.008,35356.777,35823.094,36968.36,37506.58,36305.82,36061.9,36799.574
USA,2016-04-01,41807.414,41407.207,41298.344,41973.98,40914.32,40667.152,41118.016,41892.24
USA,2016-04-02,51364.277,52833.6,50776.74,52206.043,51698.844,51500.133,49969.383,50901.76
USA,2016-04-03,49054.62,52909.49,51436.492,50995.695,53263.652,52897.992,53189.4,50548.145
USA,2016-04-04,38141.492,40739.098,40542.305,39732.41,40847.746,41464.82,43100.414,40030.26
USA,2016-04-05,36573.65,38723.35,37927.297,37934.09,37612.223,38183.12,38850.32,38158.734
USA,2016-04-06,36530.74,37963.918,38173.797,37902.582,38461.77,38461.215,37951.242,37858.664
USA,2016-04-07,37329.867,37830.137,38249.555,38049.582,37958.793,38272.715,37257.902,38178.0
USA,2016-04-08,42422.633,40846.777,42206.082,42179.78,42323.906,41107.44,42288.2,42824.617
USA,2016-04-09,51789.227,51776.348,52449.133,51454.49,51926.95,51435.92,51864.008,51313.184
USA,2016-04-10,49346.41,52167.38,53053.996,50236.65,52554.094,52496.95,53764.13,51476.402
USA,2016-04-11,37843.406,41434.375,41468.156,39976.19,40406.17,41343.56,41390.58,40195.43
USA,2016-04-12,36212.664,39018.44,38628.836,37939.2,39056.582,37969.547,37063.64,37778.3
USA,2016-04-13,35751.867,37789.02,38146.227,37610.344,38113.484,37338.348,35595.34,37033.344
USA,2016-04-14,36128.64,36337.84,38156.742,37729.953,38929.39,36620.84,36479.85,36937.676
USA,2016-04-15,41078.0,39901.414,41859.594,40809.824,42735.203,41274.31,41408.734,41344.79
USA,2016-04-16,50216.984,50848.46,51495.37,50354.58,51639.504,50608.05,51137.137,50055.36
USA,2016-04-17,47654.637,50730.254,51147.168,48753.754,50579.48,50598.395,52533.89,49823.81
USA,2016-04-18,36367.04,38196.49,39408.777,37599.41,39148.848,39009.24,40211.168,38444.734
USA,2016-04-19,34784.742,35220.387,36411.867,34861.75,37559.12,36077.477,35665.08,36173.92
USA,2016-04-20,34413.418,34725.16,36049.004,35060.332,36692.305,35760.312,34856.04,35744.867
USA,2016-04-21,35019.39,35208.71,36146.473,35724.6,37601.645,35726.93,35756.676,35916.285
USA,2016-04-22,39923.754,38086.87,40398.777,40705.85,41754.703,39794.35,40292.793,40243.625
USA,2016-04-23,49304.734,48177.527,50054.2,49621.445,49091.99,49338.6,49890.92,49026.152
USA,2016-04-24,46663.348,48292.297,49893.074,47681.992,48961.223,48882.176,52060.77,48706.773
USA/CA,2016-03-28,16184.741,15333.279,16310.254,16055.927,16272.017,15744.3545,16402.107,16433.4
USA/CA,2016-03-29,15417.633,14704.08,14953.319,15040.345,15008.069,15172.009,15309.536,15381.386
USA/CA,2016-03-30,15378.716,14847.36,14866.995,14910.243,14983.428,15173.059,15083.074,15338.55
USA/CA,2016-03-31,15588.91,14847.711,14852.882,15249.496,15992.31,15383.627,15436.62,15640.185
USA/CA,2016-04-01,17653.582,17021.664,17026.705,16903.545,17113.453,16990.252,17163.254,17417.34
USA/CA,2016-04-02,21905.416,22263.914,21677.236,21783.416,22075.44,22104.475,21043.174,22116.787
USA/CA,2016-04-03,21442.95,22657.385,22325.44,21726.047,23231.258,23051.682,23163.7,22471.104
USA/CA,2016-04-04,16448.928,16790.684,16870.723,16688.084,17206.434,17991.316,18823.84,16584.893
USA/CA,2016-04-05,15557.427,15501.294,15597.278,15744.412,15651.206,16029.338,16302.117,15624.621
USA/CA,2016-04-06,15393.38,15475.68,15375.63,15671.177,15784.847,15877.025,15810.179,15468.034
USA/CA,2016-04-07,15589.525,15264.702,15463.453,15620.392,15555.088,15597.813,15486.788,15561.736
USA/CA,2016-04-08,17571.072,16592.244,17201.049,17149.049,17286.508,16811.133,17341.777,17280.81
USA/CA,2016-04-09,21714.62,21795.684,21940.662,21665.951,22087.02,21888.75,21746.227,21803.715
USA/CA,2016-04-10,21160.89,22537.24,22721.553,21646.217,22786.906,22720.168,23547.205,22239.383
USA/CA,2016-04-11,15982.183,17140.275,16977.426,16703.295,17025.87,17430.139,17917.6,16201.885
USA/CA,2016-04-12,15095.124,15752.321,15541.613,15632.854,15904.68,15464.839,15495.904,15291.523
USA/CA,2016-04-13,14892.697,15336.849,15254.056,15065.543,15323.411,15132.296,14861.22,15145.281
USA/CA,2016-04-14,15053.808,14709.801,15255.171,15129.139,15507.921,14839.302,15221.49,15229.348
USA/CA,2016-04-15,16972.496,15983.668,17012.623,16515.736,17318.494,16619.871,17136.398,16958.057
USA/CA,2016-04-16,21048.123,21248.123,21533.932,21096.664,21843.22,21426.91,21446.709,21433.344
USA/CA,2016-04-17,20482.799,21826.803,22220.615,21121.336,22253.967,22275.77,22790.152,21654.621
USA/CA,2016-04-18,15520.192,16001.026,16586.045,16123.607,16809.602,17034.527,17531.398,15867.876
USA/CA,2016-04-19,14693.842,14976.117,15150.646,14647.329,15964.624,15255.484,15068.594,15021.971
USA/CA,2016-04-20,14590.717,14732.96,14901.9,14662.512,15511.255,15072.069,14640.579,14908.535
USA/CA,2016-04-21,14810.815,14823.835,15023.67,15222.289,15873.69,14955.731,14983.559,15056.595
USA/CA,2016-04-22,16788.56,16158.062,16881.082,17217.236,17742.594,16617.387,16859.1,16905.818
USA/CA,2016-04-23,21010.088,20821.904,21609.45,21374.83,21424.318,21318.05,21024.469,21382.777
USA/CA,2016-04-24,20545.105,21134.566,22251.387,21056.158,21936.812,21875.383,22764.477,21430.121
USA/CA/CA_1,2016-03-28,3951.8247,3862.613,4056.795,3832.8228,3918.2498,3904.845,4136.852,4110.9473
USA/CA/CA_1,2016-03-29,3752.396,3604.4954,3686.61,3617.1228,3624.1155,3736.9521,3683.1675,3786.6096
USA/CA/CA_1,2016-03-30,3753.8323,3646.5005,3717.9248,3646.2368,3579.029,3691.137,3673.446,3761.6436
USA/CA/CA_1,2016-03-31,3853.4863,3719.8066,3715.9329,3829.7664,3917.6372,3776.3481,3750.3958,3862.7231
USA/CA/CA_1,2016-04-01,4469.2124,4273.4766,4388.623,4351.714,4270.657,4337.9165,4308.4185,4430.573
USA/CA/CA_1,2016-04-02,5711.4336,5678.1597,5674.503,5787.913,5738.9116,5794.0566,5776.715,5798.6323
USA/CA/CA_1,2016-04-03,5417.7993,5883.992,5776.923,5708.7812,6027.431,6030.839,6106.68,5917.6807
USA/CA/CA_1,2016-04-04,4085.4985,4306.871,4326.3726,4186.4253,4268.1777,4505.281,4687.463,4180.295
USA/CA/CA_1,2016-04-05,3849.982,3871.936,3910.7588,3895.3596,3865.4944,3980.1318,4012.3274,3887.0583
USA/CA/CA_1,2016-04-06,3798.687,3875.7717,3828.2878,3929.3328,3886.2559,3956.5063,3840.2415,3840.9517
USA/CA/CA_1,2016-04-07,3867.1792,3810.2832,3870.3364,3935.346,3814.1726,3880.4104,3836.19,3885.7312
USA/CA/CA_1,2016-04-08,4460.3564,4256.691,4385.8325,4424.9824,4335.1924,4283.9395,4317.36,4442.0137
USA/CA/CA_1,2016-04-09,5677.433,5654.0234,5746.804,5731.6445,5770.4434,5752.5654,5680.8804,5750.588
USA/CA/CA_1,2016-04-10,5400.086,5860.8765,5882.9136,5641.204,5967.3203,5952.1074,6118.6055,5929.2666
USA/CA/CA_1,2016-04-11,4014.3875,4430.9087,4395.389,4176.0176,4255.821,4377.788,4560.1377,4150.573
USA/CA/CA_1,2016-04-12,3779.568,4023.6309,3963.133,3810.2192,3867.4534,3822.34,3817.665,3846.1018
USA/CA/CA_1,2016-04-13,3688.5918,3839.5361,3832.527,3721.34,3750.529,3728.658,3638.2366,3794.8276
USA/CA/CA_1,2016-04-14,3751.4153,3660.0923,3806.1775,3777.4858,3761.7754,3653.3547,3721.3198,3819.4329
USA/CA/CA_1,2016-04-15,4353.042,4119.605,4304.5474,4213.1196,4325.286,4202.3096,4242.641,4354.0415
USA/CA/CA_1,2016-04-16,5555.764,5610.251,5651.691,5642.051,5771.196,5605.017,5590.659,5639.39
USA/CA/CA_1,2016-04-17,5252.0005,5754.7095,5823.7397,5542.1997,5828.233,5818.013,6018.5356,5785.791
USA/CA/CA_1,2016-04-18,3911.3684,4243.6904,4293.6997,4101.674,4262.9497,4327.9653,4473.5547,4082.9077
USA/CA/CA_1,2016-04-19,3666.8118,3749.6191,3869.431,3767.1802,4027.8728,3846.1697,3707.2065,3795.1565
USA/CA/CA_1,2016-04-20,3654.905,3835.0718,3825.6042,3734.9602,3911.9238,3795.4175,3588.2998,3751.9243
USA/CA/CA_1,2016-04-21,3730.4949,3772.8093,3805.5437,3946.6099,3931.6687,3749.8867,3683.5227,3783.1213
USA/CA/CA_1,2016-04-22,4349.6694,4076.5938,4376.3086,4500.97,4516.542,4247.464,4220.2256,4318.3657
USA/CA/CA_1,2016-04-23,5529.217,5390.4004,5703.5425,5682.366,5636.6143,5589.5767,5483.8696,5602.012
USA/CA/CA_1,2016-04-24,5224.318,5629.7095,5793.0757,5427.7393,5682.491,5735.2153,5992.298,5733.3643
USA/CA/CA_1/FOODS,2016-03-28,2715.2249,2550.5366,2724.4207,2589.152,2675.5942,2684.425,2749.05,2817.1748
USA/CA/CA_1/FOODS,2016-03-29,2564.0962,2375.64,2445.5803,2410.1802,2473.552,2488.631,2411.9094,2516.7988
USA/CA/CA_1/FOODS,2016-03-30,2551.4692,2413.9746,2448.538,2388.5383,2405.677,2454.184,2397.7722,2488.4045
